Company Name,Position,Skills Required,Experience,Others ,Work Type,Company Overview
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"Java, Spring Boot, C++",0,,Onsite,"Good Environment, good salary, Flexible"
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,".NET, Python",1,,Onsite,"Cannot mention regrading other team, nothing mentionable"
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"OOP, DSA,  RESTful APIs, SQL",2,,Onsite,"The work environment,Salary n the lunch"
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"Spring Boot, C++",2,,Onsite,"Flexible work culture, good work-life balance, and a team of talented individuals."
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"C++, OOP, DSA, Java",3,,Onsite,"Salary reviews are heavily delayed — often taking 2 to 3 years instead of annually. Even when they happen, the increments are minimal and not performance-based."
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"Java, Spring Boot, C++",0,,Onsite,Good food - Work life balance - Good collagues
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"Java, Spring Boot",2,,Onsite,Running out of good projects to work on - Learning opportunity less - Flexibility decreasing day by day
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"C++, DSA",2,,Onsite,"It is really a good place to start your career. Environment is good, food was good"
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"Java, OPP, DSA",3,,Onsite,"Growth, the reviewing of salary used to be good but now close to non existent, but still better that other companies."
Tiger IT Bangladesh Ltd.,Software Engineer / Developer,"DSA,  RESTful APIs, SQL",1,,Onsite,"Good team members, decent office and salary"
Tiger IT Bangladesh Ltd.,QA Engineer,"Selenium, TestNG, JMeter",3,,Onsite,"Management and HR issues, uneven distribution of work"
Tiger IT Bangladesh Ltd.,QA Engineer,"SQL, Python",2,,Onsite,Some people in upper management are making side businesses by exploiting company's reputation.
Tiger IT Bangladesh Ltd.,QA Engineer,"Postman, SoapUI, REST Assured",1,,Onsite,Have pick and drop transport facility.
Tiger IT Bangladesh Ltd.,QA Engineer,"Apache JMeter, LoadRunner, BlazeMeter",2,,Onsite,"Have PF, earned leave and leave encashment facility."
